user,pre_avg_nec_time,pre_norm_avg_nec_time,pre_std_nec_time,pre_norm_std_nec_time,pre_link_choice_clicked,pre_narrative_element_change,pre_link_choice_ratio
225c7704-bb8d-40e3-9bca-f8dc64e01627,63.508,0.802,19.988,0.401,6,6,1.0
6afefb7b-cfab-4c7d-9d33-0fe61f4bb8b7,58.885,0.806,10.292,0.403,4,6,0.667
a10bc299-9c8e-42ad-b83b-75b9ca8f6604,50.091,0.645,17.322,0.373,5,6,0.833
98f426df-5ce4-42fc-a542-cb2ac3cb3ae6,62.536,0.819,8.173,0.411,6,6,1.0
82427125-70cf-444f-aa11-bb49fc184d99,69.427,0.79,12.951,0.403,6,6,1.0
fca36637-f008-4f30-8289-929f1581355a,57.167,0.768,12.063,0.396,8,6,1.333
06286204-ce6a-4b22-b0c0-731bfe84e408,45.582,0.671,13.073,0.425,10,6,1.667
fee0d1b8-a7a7-4d82-a2ca-80679585aaee,53.863,0.747,14.026,0.389,5,6,0.833
d4d1efc9-b2fb-4e55-9a2c-edd999b3c7eb,58.028,0.77,17.044,0.392,9,6,1.5
c6d79da3-eb8b-4b17-b376-361e2b6c9576,54.337,0.754,13.424,0.389,5,6,0.833
dcd6d0dd-3beb-4b8c-b79c-2c66340f711d,56.411,0.777,13.169,0.4,6,6,1.0
6c038de5-863b-4b1a-8ea3-8669a39308ce,56.835,0.76,12.721,0.398,5,6,0.833
7cb050c6-c51c-4216-a7c0-d7ab7a9f4d7f,55.934,0.776,16.457,0.408,6,6,1.0
1e5b53be-8b33-4620-b701-ecfd199b7cf1,54.395,0.765,15.055,0.399,6,6,1.0
e062c90c-aad9-41ac-84ea-0d1b0710588f,65.146,0.794,15.83,0.412,8,6,1.333
d9d2ae22-6973-4c23-a8b8-dd9aa3ca96ba,50.11,0.615,18.0,0.429,6,6,1.0
1f6d73f2-2f9f-4e5b-a108-62c9db279660,54.884,0.761,13.762,0.395,18,6,3.0
87272060-3178-46e5-a9cc-159a015f81ae,53.049,0.739,14.565,0.388,5,6,0.833
cbd641d1-7f9f-48d1-ac2b-a63c3acfc619,64.713,0.805,17.53,0.409,5,6,0.833
d9a0a8fa-a697-49bb-a56e-9dd255d4b156,58.675,0.803,10.166,0.401,4,6,0.667
58d2fd3f-7e8e-4139-9264-fde14f334b9e,53.297,0.744,14.721,0.391,6,6,1.0
0f6ad51b-bece-478a-aa4e-f335acc5e601,52.672,0.755,16.225,0.396,6,6,1.0
efce7549-d1c3-429a-bcb0-3b721c019532,58.78,0.816,10.714,0.408,4,6,0.667
10513f57-4053-4fb2-a149-3b273d7b4c87,53.637,0.74,14.006,0.388,7,6,1.167
1f600be5-9610-451a-8919-3dca43847c85,55.177,0.692,20.789,0.432,18,6,3.0
264538b9-77ba-4309-97db-52e0423beaca,61.687,0.756,14.85,0.388,2,6,0.333
34f33bc4-35b1-4b7c-a3f4-88e9c3f255a5,54.693,0.754,13.113,0.389,7,6,1.167
a73a5ebf-57a8-455b-af7b-67dffe624fd0,56.016,0.756,18.525,0.388,9,6,1.5
c3ec2d2a-241c-4354-bcff-e67c3191bd15,38.864,0.525,15.928,0.411,7,6,1.167
1784a981-4107-4ab7-adad-b24a956a624a,65.186,0.859,15.335,0.511,18,6,3.0
45bc6ac6-7e19-47d4-821b-2c47ebf26b88,119.225,1.959,123.782,2.569,5,6,0.833
94cbe4b3-8b66-441a-ba6d-afc8bbce7c3e,58.01,0.781,10.516,0.394,22,6,3.667
7ee08494-4c0d-40d4-a34d-4aeecc8a467a,59.524,0.831,10.265,0.417,5,6,0.833
9d84f652-68d1-4378-9ce5-0c57bb732b56,62.465,0.791,18.572,0.4,5,6,0.833
3269a51f-5e16-47d1-956f-36b1cb38e0bb,51.88,0.744,15.842,0.388,5,6,0.833
